;LON;LAT;alt1mean;amplb7mean;amplc7mean;cosin7mean;encais7mean;orien7mean;pente7mean;rugos7mean;sinus7mean;DISTANCE_C;ARatio;BATI;INFRA;SURFACEARTIF;FORET+EAU;GRANDECULTURE;VEGETATIONBASSE
S61;5.04201111;47.337579999999996;252;2;34;-51;239;0;4.0;0;-85;1785.704;0.316202416714468;22.535332954144558;10.137299935921897;38.2762270236801;19.89697104965693;0.0;9.154169036596517
S62;5.0312;47.33;262;8;32;-64;130;0;5.0;4;76;1210.444;0.598870736856834;27.42859815303145;8.976540549485733;33.87715896376935;21.374325914040774;0.0;8.343376419672698
S63;5.03622;47.33344;257;8;34;-22;103;0;4.0;3;97;1378.105;0.416729836474299;24.435757645501884;8.150766707902989;32.68793693719612;23.826562904571478;0.0;10.898975804827526
S64;5.0334889;47.32394444;252;4;34;-99;185;1;6.0;1;-8;645.69;1.15894782378474;41.15736406193734;10.662945624774938;31.207418077061575;15.215340295282678;0.0;1.7569319409434643
S65;5.06223889;47.32584444;252;2;17;-99;185;0;7.0;1;-8;1657.359;0.241898022198534;17.807086005301375;6.691818832474347;30.795458223787136;33.749339126243974;0.0;10.956297812193165
S66;5.02706389;47.32219722;244;1;45;-98;170;0;5.0;3;17;1075.385;0.37951153958109707;24.657613136137694;12.17655464332377;39.23708468158472;18.88571747369785;0.0;5.043030065255967
S67;5.05693889;47.31526667;252;7;13;-5;267;1;6.0;4;-99;1374.9170000000001;0.260587127352886;17.98135997291866;6.70551206055848;28.81821652105646;33.610028737908834;0.0;12.884882707557566
S68;5.03342222;47.33343889;264;11;31;-12;97;0;5.0;4;99;1450.704;0.368591175974811;23.098802233720843;8.64110520997767;30.955300412440085;26.87620684571433;0.0;10.428585298147077
S70;5.04633889;47.30914444;235;0;26;-100;180;0;3.0;0;0;1429.259;0.28790080220962;18.675909254591286;6.699315808426359;29.473892689953185;33.57328051854519;0.0;11.577601728483975
S71;5.06832778;47.31801667;271;23;0;-100;180;0;5.0;1;0;2083.618;0.21404549059610697;19.7969396939694;10.213501350135013;36.190819081908195;20.74995499549955;0.0;13.048784878487849
S72;4.92378889;47.29110833;595;115;2;8;275;11;22.0;13;-99;9504.759;0.000644325348926789;0.11415895103409283;0.4987701803855476;0.43466830882697177;95.44012417036693;0.0;3.5122783893864584
