Gridpoint,2019-01-13 20:00:00
0,-0.008583722708620982
1,-0.008583722708620982
2,-0.008583722708620982
3,-0.008583722708620982
4,-0.008583722708620982
5,-0.008583722708620982
6,-0.008583722708620982
7,-0.008583722708620982
8,-0.008583722708620982
9,-0.008583722708620982
10,-0.008583722708620982
11,-0.008583722708620982
12,-0.008583722708620982
13,-0.008583722708620982
14,-0.008583722708620982
15,-0.008583722708620982
16,-0.008583722708620982
17,-0.008583722708620982
18,-0.008583722708620982
19,-0.008583722708620982
20,-0.008583722708620982
21,-0.008583722708620982
22,-0.008583722708620982
23,-0.008583722708620982
24,-0.008583722708620982
25,-0.008583722708620982
26,-0.008583722708620982
27,-0.008583722708620982
28,-0.008583722708620982
29,-0.008583722708620982
30,-0.008583722708620982
31,-0.008583722708620982
32,-0.008583722708620982
33,-0.008583722708620982
34,-0.008583722708620982
35,-0.008583722708620982
36,-0.008583722708620982
37,-0.008583722708620982
38,-0.008583722708620982
39,-0.008583722708620982
40,-0.008583722708620982
41,-0.008583722708620982
42,-0.008583722708620982
43,-0.008583722708620982
44,-0.008583722708620982
45,-0.008583722708620982
46,-0.008583722708620982
47,-0.008583722708620982
48,-0.008583722708620982
49,-0.008583722708620982
50,-0.008583722708620982
51,-0.008583722708620982
52,-0.008583722708620982
53,-0.008583722708620982
54,-0.008583722708620982
55,-0.008583722708620982
56,-0.00858173481072049
57,-0.00857480589494982
58,-0.008564630645687982
59,-0.008552825812847312
60,-0.00854079379901673
61,-0.008529715780862786
62,-0.008520545434077893
63,-0.008514003744062058
64,-0.008510575510737063
65,-0.008510505921353483
66,-0.008513800131687356
67,-0.008520222419903124
68,-0.008529297900956467
69,-0.008540315149219966
70,-0.008552329884172892
71,-0.008564170042020659
72,-0.008574442396263036
73,-0.00858476932763352
74,-0.008594833536907005
75,-0.008605089875084466
76,-0.008615800500786702
77,-0.00862540234305643
78,-0.008632699779756208
79,-0.008636871439247898
80,-0.008637473870948886
81,-0.008634444453766352
82,-0.008628101710504738
83,-0.008619143141963916
84,-0.008608642238879704
85,-0.008598041959074208
86,-0.008589147832666198
87,-0.008584118056149047
88,-0.008583722708620982
89,-0.008583722708620982
90,-0.008583722708620982
91,-0.008583722708620982
92,-0.008583722708620982
93,-0.008583722708620982
94,-0.008583722708620982
95,-0.008525903171848299
96,-0.008269985038158364
97,-0.007815410433252235
98,-0.007168509070965751
99,-0.006335674594403054
100,-0.005323418428388813
101,-0.004138369694253782
102,-0.00278723847991293
103,-0.0012769085043447303
104,0.00038557605998025763
105,0.0021930577583311943
106,0.004138132473150836
107,0.00621319863170074
108,0.008410412298236605
109,0.01072165634383919
110,0.013138477614318253
111,0.015652157056117944
112,0.01825350234634153
113,0.020932930420915426
114,0.02368026944337258
115,0.026484865686423945
116,0.02933540161540929
117,0.03221983642371681
118,0.035125322802976595
119,0.03803815237745256
120,0.04094351641873779
121,0.04382561314803751
122,0.0466674217158065
123,0.04945068770849933
124,0.052155743433333075
125,0.05476171571892042
126,0.05724632965335956
127,0.0595862851599485
128,0.061757269010438605
129,0.06373457925819609
130,0.06549347359645244
131,0.06700999824930721
132,0.06826187680916472
133,0.0692294019308753
134,0.06989647952690412
135,0.07025156963290469
136,0.07028834705458073
137,0.07000615112254062
138,0.0694100193343503
139,0.06851035642795925
140,0.0673222804664745
141,0.06586474249159119
142,0.06415953648421295
143,0.062230313980314644
144,0.06010167231425321
145,0.05779841669424106
146,0.0553449602940952
147,0.05276489295502647
148,0.05008067760306721
149,0.04731361420669049
150,0.044483583441273934
151,0.04160914005227706
152,0.038707652685077996
153,0.03579518877978752
154,0.03288670678922825
155,0.02999623025435912
156,0.027136742689662145
157,0.02432052392274804
158,0.02155899142448428
159,0.018863028543148825
160,0.016242812386033024
161,0.01370809747765387
162,0.011268146439784896
163,0.008931846719462486
164,0.00670764729018032
165,0.004603761383572038
166,0.002628092412243475
167,0.0007882956083742291
168,-0.0009081771804337045
169,-0.0024541259537289237
170,-0.0038424690570548177
171,-0.005066300424852871
172,-0.006118853450133705
173,-0.006993486270168667
174,-0.007683675341202683
175,-0.008182975488600013
176,-0.008485055967539654
177,-0.008583722708620982
178,-0.008583722708620982
179,-0.008583722708620982
180,-0.008583722708620982
181,-0.008583722708620982
182,-0.008583722708620982
183,-0.008583722708620982
184,-0.008583722708620982
185,-0.008583722708620982
186,-0.008583722708620982
187,-0.008583722708620982
188,-0.008583722708620982
189,-0.008583722708620982
190,-0.008583722708620982
191,-0.008583722708620982
192,-0.008583722708620982
193,-0.008583722708620982
194,-0.008583722708620982
195,-0.008583722708620982
196,-0.008583722708620982
197,-0.008583722708620982
198,-0.008583722708620982
199,-0.008583722708620982
200,-0.008583722708620982
201,-0.008583722708620982
202,-0.008583722708620982
203,-0.008583722708620982
204,-0.008583722708620982
205,-0.008583722708620982
206,-0.008583722708620982
207,-0.008583722708620982
208,-0.008583722708620982
209,-0.008583722708620982
210,-0.008583722708620982
211,-0.008583722708620982
212,-0.008583722708620982
213,-0.008583722708620982
214,-0.008583722708620982
215,-0.008583722708620982
216,-0.008583722708620982
217,-0.008583722708620982
218,-0.008583722708620982
219,-0.008583722708620982
220,-0.008583722708620982
221,-0.008583722708620982
222,-0.008583722708620982
223,-0.008583722708620982
224,-0.008583722708620982
225,-0.008583722708620982
226,-0.008583722708620982
227,-0.008583722708620982
228,-0.008583722708620982
229,-0.008583722708620982
230,-0.008583722708620982
231,-0.008583722708620982
232,-0.008583722708620982
233,-0.008583722708620982
234,-0.008583722708620982
235,-0.008583722708620982
236,-0.008583722708620982
237,-0.008583722708620982
238,-0.008583722708620982
239,-0.008583722708620982
240,-0.008583722708620982
241,-0.008583722708620982
242,-0.008583722708620982
243,-0.008583722708620982
244,-0.008583722708620982
245,-0.008583722708620982
246,-0.008583722708620982
247,-0.008583722708620982
248,-0.008583722708620982
249,-0.008583722708620982
250,-0.008583722708620982
251,-0.008581700426715168
252,-0.008569388793908147
253,-0.008548174920036967
254,-0.008520545201389307
255,-0.008488803465352
256,-0.008455059457835087
257,-0.008421218546492186
258,-0.008388972319457722
259,-0.008359789049253871
260,-0.008334906622425605
261,-0.008315324410170716
262,-0.008301798498652911
263,-0.008294837003639748
264,-0.008294697664236616
265,-0.008301385415410461
266,-0.008314653157718064
267,-0.008334931753341601
268,-0.00837270870134885
269,-0.0084272258735635
270,-0.008493560819323303
271,-0.008566863557915121
272,-0.00864238602371022
273,-0.0087155009346619
274,-0.008781728539387329
275,-0.0088367614353663
276,-0.008876482033135309
277,-0.008898027434757276
278,-0.008908629435292605
279,-0.008910138779201129
280,-0.008902489589425832
281,-0.00888601577821824
282,-0.0088614488668191
283,-0.008829914071866868
284,-0.008792922925080309
285,-0.008752366429752799
286,-0.008710503831867427
287,-0.008669950183492406
288,-0.008633662904128345
289,-0.008604928437783904
290,-0.008587343146742248
291,-0.008583722708620982
292,-0.008583722708620982
293,-0.00858307557811137
294,-0.008461296654270364
295,-0.008133198544275808
296,-0.007604944295097157
297,-0.006882751031204644
298,-0.005972944997524074
299,-0.004881907572214706
300,-0.0036161654055547553
301,-0.002182307403740641
302,-0.0005870902239368402
303,0.0011625771323229262
304,0.003059685932154592
305,0.00509698571116656
306,0.007267039415809313
307,0.009562176951127281
308,0.011974436206126735
309,0.014495636922931047
310,0.017117176686820463
311,0.019830090734126577
312,0.022624971118171154
313,0.025491905718816515
314,0.028420402028337264
315,0.03139934765399549
316,0.034416780608891036
317,0.037459985582814985
318,0.04051524952382861
319,0.04356777797970363
320,0.046601589156426426
321,0.04959925116452947
322,0.05254196051206412
323,0.055409327641727374
324,0.05817920851594516
325,0.060827918152958474
326,0.06333005868932047
327,0.06565897204393364
328,0.06778689584952073
329,0.06968577701966729
330,0.071327896401917
331,0.07268713120498087
332,0.0737400330799881
333,0.07446725210134288
334,0.07485477617654855
335,0.07489488247581966
336,0.0745867706982818
337,0.07393659315183079
338,0.07295700045484256
339,0.07166622315149852
340,0.07008686366998441
341,0.06824457399802665
342,0.06616678040141236
343,0.06388157380590488
344,0.06141680987451099
345,0.05879947693019382
346,0.0560552562439748
347,0.05320826750381794
348,0.05028098007397825
349,0.04729415715447244
350,0.044267055562412914
351,0.04121733902584213
352,0.03816128517528568
353,0.03511402694580171
354,0.03208944837570076
355,0.029100574353081343
356,0.02615942250525939
357,0.023277368578191997
358,0.02046498480461771
359,0.017732369802932395
360,0.015088983750656445
361,0.012543920052713896
362,0.010105864132812926
363,0.007783073921172448
364,0.005583575440521437
365,0.00351509863242231
366,0.0015851515583816052
367,-0.00019903212801175097
368,-0.0018303398638636966
369,-0.0033018488561576713
370,-0.0046067830177542925
371,-0.0057384972968645715
372,-0.006690463399632328
373,-0.007456257076038666
374,-0.008029547920099717
375,-0.008404088376307751
376,-0.00857370683651201
377,-0.008583722708620982
378,-0.008583722708620982
379,-0.008583722708620982
380,-0.008583722708620982
381,-0.008583722708620982
